"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2013","2013",1786.3,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2014","2014",1841.4,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2015","2015",1897,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2016","2016",1956.4,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2017","2017",2017,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUS","Australia","2018","2018",2078.7,"P","Provisional value"
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2000","2000",362.9,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2001","2001",382.5,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2002","2002",398.8,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2003","2003",412.6,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2004","2004",425.7,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2005","2005",441.2,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2006","2006",452.5,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2007","2007",466.9,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2008","2008",479.8,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2009","2009",491.9,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2010","2010",505.7,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2011","2011",518,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2012","2012",526,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2013","2013",533.6,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2014","2014",541,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2015","2015",547.4,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2016","2016",556,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2017","2017",567.1,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUS","Australia","2018","2018",578,"P","Provisional value"
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2000","2000",1041,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2001","2001",1069.4,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2002","2002",1095.2,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2003","2003",1119.4,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2004","2004",1144.7,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2005","2005",1173,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2006","2006",1200,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2007","2007",1237.9,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2008","2008",1273.5,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2009","2009",1317.5,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2010","2010",1366.9,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2011","2011",1419.6,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2012","2012",1484.2,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2013","2013",1544,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2014","2014",1600.7,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2015","2015",1657.3,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2016","2016",1715.8,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2017","2017",1773.6,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2018","2018",1830.4,"P","Provisional value"
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2000","2000",195.2,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2001","2001",208.8,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2002","2002",221.1,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2003","2003",231.9,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2004","2004",242.8,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2005","2005",255.8,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2006","2006",267.7,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2007","2007",281.1,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2008","2008",293.4,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2009","2009",305,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2010","2010",317.9,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2011","2011",329.6,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2012","2012",339.6,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2013","2013",349.6,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2014","2014",360.1,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2015","2015",369.7,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2016","2016",381.7,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2017","2017",395,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUS","Australia","2018","2018",407.7,"P","Provisional value"
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2000","2000",12.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2001","2001",12.6,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2002","2002",12.7,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2003","2003",12.7,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2004","2004",12.9,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2005","2005",13,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2006","2006",13,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2007","2007",13.1,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2008","2008",13.2,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2009","2009",13.3,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2010","2010",13.6,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2011","2011",13.8,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2012","2012",14.1,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2013","2013",14.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2014","2014",14.7,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2015","2015",14.9,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2016","2016",15.2,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2017","2017",15.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2018","2018",15.6,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2000","2000",2.9,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2001","2001",3.1,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2002","2002",3.2,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2003","2003",3.3,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2004","2004",3.4,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2005","2005",3.5,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2006","2006",3.5,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2007","2007",3.6,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2008","2008",3.6,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2009","2009",3.7,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2010","2010",3.7,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2011","2011",3.8,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2012","2012",3.8,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2013","2013",3.8,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2014","2014",3.8,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2015","2015",3.9,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2016","2016",3.9,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2017","2017",3.9,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2018","2018",3.9,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2000","2000",1233.7,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2001","2001",1238,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2002","2002",1249.2,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2003","2003",1250.5,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2004","2004",1260.9,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2005","2005",1307.9,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2006","2006",1357.6,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2007","2007",1398.6,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2008","2008",1424,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2009","2009",1449.1,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2010","2010",1473.4,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2011","2011",1477.6,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2012","2012",1496.4,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2013","2013",1527.3,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2014","2014",1556.7,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2015","2015",1583.9,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2016","2016",1605,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2017","2017",1625.5,,
"STRUSFPL","Population: 65 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2018","2018",1647,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2000","2000",272.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2001","2001",285.4,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2002","2002",304.5,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2003","2003",318,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2004","2004",331.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2005","2005",345.4,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2006","2006",358.9,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2007","2007",371,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2008","2008",380.7,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2009","2009",390.5,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2010","2010",399.2,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2011","2011",408.9,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2012","2012",416.9,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2013","2013",422.4,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2014","2014",426.2,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2015","2015",429.8,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2016","2016",430.1,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2017","2017",433.5,,
"STRUPP80","Population: 80 years old and over","EFFPEREF","Thousands of persons","AUT","Austria","2018","2018",435.4,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2000","2000",770.6,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2001","2001",769.2,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2002","2002",771.9,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2003","2003",768.4,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2004","2004",769.8,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2005","2005",791,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2006","2006",813.5,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2007","2007",831.8,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2008","2008",842.1,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2009","2009",852.3,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2010","2010",862.6,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2011","2011",862.4,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2012","2012",869.6,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2013","2013",882.8,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2014","2014",896.2,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2015","2015",908.5,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2016","2016",917.4,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2017","2017",926.5,,
"STRUSFPL","Population: 65 years old and over","THFEMETF","Thousands of females","AUT","Austria","2018","2018",935.7,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2000","2000",197.3,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2001","2001",206.4,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2002","2002",219.7,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2003","2003",229,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2004","2004",238.3,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2005","2005",248,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2006","2006",256.5,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2007","2007",263.4,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2008","2008",267.3,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2009","2009",271,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2010","2010",274.1,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2011","2011",277.6,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2012","2012",280.5,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2013","2013",281.3,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2014","2014",281.6,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2015","2015",282,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2016","2016",280.2,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2017","2017",280.3,,
"STRUPP80","Population: 80 years old and over","THFEMETF","Thousands of females","AUT","Austria","2018","2018",278.8,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2000","2000",463,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2001","2001",468.8,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2002","2002",477.3,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2003","2003",482.1,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2004","2004",491.1,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2005","2005",516.9,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2006","2006",544.1,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2007","2007",566.8,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2008","2008",581.9,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2009","2009",596.7,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2010","2010",610.8,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2011","2011",615.2,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2012","2012",626.8,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2013","2013",644.4,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2014","2014",660.5,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2015","2015",675.5,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2016","2016",687.6,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2017","2017",699,,
"STRUSFPL","Population: 65 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2018","2018",711.3,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2000","2000",74.9,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2001","2001",79,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2002","2002",84.8,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2003","2003",89,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2004","2004",92.9,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2005","2005",97.4,,
"STRUPP80","Population: 80 years old and over","THHOMOTH","Thousands of males","AUT","Austria","2006","2006",102.3,,
